cidade_residencial;bairro_residencial;cidade_trabalho;bairro_trabalho;;;;;
São Paulo;Lapa;São Paulo;República;;;;;
São Paulo;Consolação;São Paulo;Penha;;;;;
São Paulo;Jabaquara;São Paulo;Sé;;;;;
São Paulo;República;São Paulo;Bela Vista;;;;;
São Paulo;Jabaquara;São Paulo;República;;;;;
São Paulo;Perdizes;São Paulo;Consolação;;;;;
São Paulo;Tatuapé;Não informado;Não informado;;;;;
São Paulo;Santo Amaro;Não informado;Não informado;;;;;
São Paulo;Santana;São Paulo;Casa Verde;;;;;
São Paulo;Santana;São Paulo;Casa Verde;;;;;
São Paulo;Itaquera;São Paulo;Santana;;;;;
São Paulo;Campo Limpo;Não informado;Não informado;;;;;
São Paulo;Campo Limpo;São Paulo;Lapa;;;;;
Mauá;Sé;São Paulo;Consolação;;;;;
Ribeirão Pires;Casa Verde;São Paulo;Consolação;;;;;
São Paulo;Santo Amaro;São Paulo;Casa Verde;;;;;
São Paulo;Penha;São Paulo;Limão;;;;;
São Paulo;Santo Amaro;São Paulo;Limão;;;;;
Diadema;Itaquera;Não informado;Não informado;;;;;
São Paulo;Perdizes;Não informado;Não informado;;;;;
São Paulo;Pinheiros;São Paulo;Sé;;;;;
São Paulo;Santo Amaro;Não informado;Não informado;;;;;
São Paulo;Consolação;São Paulo;Consolação;;;;;
Diadema;Higienópolis;São Paulo;Limão;;;;;
Cunha;Lapa;São Paulo;Butantã;;;;;
São Paulo;Lapa;São Paulo;República;;;;;
São Paulo;Casa Verde;Não informado;Não informado;;;;;
São Paulo;Tatuapé;Não informado;Não informado;;;;;
São Paulo;Pinheiros;Não informado;Não informado;;;;;
São Paulo;Itaquera;Não informado;Não informado;;;;;
São Paulo;Vila Prudente;São Paulo;Sé;;;;;
São Paulo;Bela Vista;Não informado;Não informado;;;;;
São Paulo;Santo Amaro;São Paulo;Bela Vista;;;;;
São Paulo;Penha;Não informado;Não informado;;;;;
São Paulo;Campo Limpo;Não informado;Não informado;;;;;
São Paulo;Casa Verde;Não informado;Não informado;;;;;
São Paulo;Tucuruvi;Não informado;Não informado;;;;;
São Paulo;Tucuruvi;São Paulo;Tucuruvi;;;;;
São Paulo;Higienópolis;Não informado;Não informado;;;;;
São Paulo;Casa Verde;São Paulo;República;;;;;
São Paulo;Ipiranga;São Paulo;Casa Verde;;;;;
São Paulo;Campo Limpo;Não informado;Não informado;;;;;
São Paulo;Perdizes;São Paulo;Limão;;;;;
São Paulo;Sé;Não informado;Não informado;;;;;
São Paulo;Santo Amaro;São Paulo;Sé;;;;;
São Paulo;Campo Limpo;São Paulo;Tatuapé;;;;;
São Paulo;Penha;Não informado;Não informado;;;;;
São Paulo;Sé;São Paulo;Sé;;;;;
São Paulo;Butantã;Não informado;Não informado;;;;;
São Paulo;Tatuapé;Não informado;Não informado;;;;;
São Paulo;Bela Vista;São Paulo;Sé;;;;;
São Paulo;Consolação;São Paulo;Santana;;;;;
São Paulo;Limão;São Paulo;República;;;;;
São Paulo;Casa Verde;São Paulo;Bela Vista;;;;;
São Paulo;Santana;São Paulo;Consolação;;;;;
São Paulo;República;Não informado;Não informado;;;;;
São Paulo;Itaquera;São Paulo;Ipiranga;;;;;
São Paulo;Ipiranga;São Paulo;Penha;;;;;
Carvalho do Campo;Penha;São Paulo;Lapa;;;;;
São Paulo;Lapa;Não informado;Não informado;;;;;
São Paulo;Campo Limpo;São Paulo;República;;;;;
São Paulo;Penha;Não informado;Não informado;;;;;
São Paulo;Consolação;São Paulo;Itaquera;;;;;
São Paulo;Itaquera;Não informado;Não informado;;;;;
São Paulo;Penha;São Paulo;Sé;;;;;
São Paulo;Vila Prudente;São Paulo;Tucuruvi;;;;;
São Paulo;Vila Prudente;São Paulo;Santana;;;;;
São Paulo;Ipiranga;São Paulo;Casa Verde;;;;;
São Paulo;Tatuapé;Não informado;Não informado;;;;;
São Paulo;Butantã;Não informado;Não informado;;;;;
São Paulo;Jabaquara;São Paulo;Sé;;;;;
São Paulo;Ipiranga;São Paulo;Lapa;;;;;
São Paulo;Sé;Não informado;Não informado;;;;;
Monteiro;Higienópolis;Não informado;Não informado;;;;;
São Paulo;Vila Prudente;Não informado;Não informado;;;;;
São Paulo;Tatuapé;Não informado;Não informado;;;;;
São Paulo;República;São Paulo;Consolação;;;;;
São Paulo;Consolação;São Paulo;Limão;;;;;
São Paulo;Santo Amaro;São Paulo;Higienópolis;;;;;
São Paulo;Ipiranga;São Paulo;Sé;;;;;
São Paulo;Perdizes;São Paulo;República;;;;;
São Paulo;Higienópolis;São Paulo;Limão;;;;;
Santo André;Pinheiros;São Paulo;Consolação;;;;;
São Paulo;Vila Prudente;São Paulo;Sé;;;;;
São Paulo;Santana;São Paulo;Bela Vista;;;;;
São Paulo;Jabaquara;São Paulo;Penha;;;;;
São Paulo;Penha;São Paulo;Tucuruvi;;;;;
São Paulo;Perdizes;São Paulo;Higienópolis;;;;;
São Paulo;Itaquera;Não informado;Não informado;;;;;
São Paulo;Tucuruvi;Não informado;Não informado;;;;;
São Paulo;Jabaquara;Não informado;Não informado;;;;;
São Paulo;Santana;Não informado;Não informado;;;;;
Teixeira;Higienópolis;São Paulo;República;;;;;
São Paulo;Campo Limpo;São Paulo;Santana;;;;;
São Paulo;Pinheiros;Não informado;Não informado;;;;;
São Paulo;Santana;São Paulo;Casa Verde;;;;;
São Paulo;Pinheiros;São Paulo;Santana;;;;;
São Paulo;Butantã;São Paulo;Santo Amaro;;;;;
São Paulo;Perdizes;São Paulo;Penha;;;;;
São Paulo;Consolação;São Paulo;Sé;;;;;
São Paulo;Ipiranga;São Paulo;Sé;;;;;
Santo André;Santana;Não informado;Não informado;;;;;
São Paulo;Tatuapé;São Paulo;Sé;;;;;
São Paulo;Butantã;Não informado;Não informado;;;;;
São Paulo;Limão;Não informado;Não informado;;;;;
São Paulo;República;São Paulo;Higienópolis;;;;;
Farias;Higienópolis;São Paulo;Higienópolis;;;;;
São Paulo;Butantã;São Paulo;Higienópolis;;;;;
São Paulo;Lapa;São Paulo;Penha;;;;;
São Paulo;Perdizes;Não informado;Não informado;;;;;
São Paulo;Butantã;Não informado;Não informado;;;;;
São Paulo;Santo Amaro;São Paulo;Limão;;;;;
São Paulo;Campo Limpo;São Paulo;Consolação;;;;;
São Paulo;Casa Verde;São Paulo;República;;;;;
São Paulo;Limão;São Paulo;Higienópolis;;;;;
São Paulo;República;São Paulo;República;;;;;
São Paulo;Higienópolis;São Paulo;Tucuruvi;;;;;
São Paulo;Higienópolis;São Paulo;Consolação;;;;;
São Paulo;Consolação;Não informado;Não informado;;;;;
Ribeirão Pires;Vila Prudente;Não informado;Não informado;;;;;
São Paulo;Perdizes;São Paulo;Consolação;;;;;
São Paulo;Perdizes;São Paulo;República;;;;;
São Paulo;Vila Prudente;Não informado;Não informado;;;;;
São Paulo;Casa Verde;São Paulo;Sé;;;;;
São Paulo;Casa Verde;São Paulo;República;;;;;
São Paulo;Higienópolis;São Paulo;Higienópolis;;;;;
São Paulo;República;São Paulo;República;;;;;
São Paulo;Ipiranga;São Paulo;Limão;;;;;
São Paulo;Jabaquara;Não informado;Não informado;;;;;
São Paulo;Santo Amaro;São Paulo;Bela Vista;;;;;
São Paulo;Higienópolis;Não informado;Não informado;;;;;
São Paulo;Pinheiros;São Paulo;Tatuapé;;;;;
Rocha;Jabaquara;Não informado;Não informado;;;;;
São Paulo;Limão;São Paulo;Tatuapé;;;;;
São Paulo;Consolação;São Paulo;Sé;;;;;
São Paulo;Lapa;São Paulo;Casa Verde;;;;;
São Paulo;Pinheiros;São Paulo;Perdizes;;;;;
São Paulo;Pinheiros;São Paulo;Penha;;;;;
São Paulo;Higienópolis;São Paulo;República;;;;;
São Paulo;Consolação;São Paulo;Santana;;;;;
São Paulo;Itaquera;São Paulo;Jabaquara;;;;;
São Paulo;Tucuruvi;São Paulo;República;;;;;
São Paulo;Campo Limpo;São Paulo;Vila Prudente;;;;;
São Paulo;Casa Verde;Não informado;Não informado;;;;;
São Paulo;Vila Prudente;São Paulo;Higienópolis;;;;;
São Paulo;Penha;São Paulo;Limão;;;;;
São Paulo;Perdizes;São Paulo;Santana;;;;;
São Paulo;Pinheiros;São Paulo;República;;;;;
Diadema;Ipiranga;São Paulo;Higienópolis;;;;;
São Paulo;Casa Verde;São Paulo;Tatuapé;;;;;
São Paulo;Perdizes;São Paulo;Sé;;;;;
São Paulo;Lapa;São Paulo;Bela Vista;;;;;
São Paulo;Tucuruvi;São Paulo;Limão;;;;;
São Paulo;Itaquera;São Paulo;Santana;;;;;
São Paulo;Butantã;Não informado;Não informado;;;;;
São Paulo;Pinheiros;Não informado;Não informado;;;;;
São Paulo;República;São Paulo;Consolação;;;;;
São Paulo;Limão;São Paulo;Sé;;;;;
São Paulo;República;São Paulo;Limão;;;;;
São Paulo;Higienópolis;São Paulo;Consolação;;;;;
Moura;Perdizes;São Paulo;Limão;;;;;
São Paulo;Perdizes;Não informado;Não informado;;;;;
São Paulo;Perdizes;São Paulo;Consolação;;;;;
Barros de Minas;Tucuruvi;São Paulo;Higienópolis;;;;;
São Paulo;Perdizes;São Paulo;Consolação;;;;;
São Paulo;Santo Amaro;São Paulo;Casa Verde;;;;;
São Paulo;Penha;São Paulo;Limão;;;;;
São Paulo;Ipiranga;Não informado;Não informado;;;;;
São Paulo;Lapa;Não informado;Não informado;;;;;
São Paulo;Tatuapé;São Paulo;Limão;;;;;
São Paulo;Sé;São Paulo;Bela Vista;;;;;
São Paulo;Pinheiros;São Paulo;Sé;;;;;
São Paulo;Tucuruvi;São Paulo;Bela Vista;;;;;
São Paulo;Itaquera;São Paulo;Sé;;;;;
São Paulo;Jabaquara;Não informado;Não informado;;;;;
São Paulo;Tatuapé;São Paulo;Consolação;;;;;
São Paulo;Pinheiros;Não informado;Não informado;;;;;
São Paulo;Jabaquara;Não informado;Não informado;;;;;
São Paulo;Campo Limpo;São Paulo;Sé;;;;;
São Paulo;Pinheiros;São Paulo;Limão;;;;;
São Paulo;Consolação;Não informado;Não informado;;;;;
São Paulo;Penha;Não informado;Não informado;;;;;
São Paulo;Tucuruvi;Não informado;Não informado;;;;;
São Paulo;Tatuapé;São Paulo;Higienópolis;;;;;
São Paulo;Higienópolis;Não informado;Não informado;;;;;
São Paulo;Limão;Não informado;Não informado;;;;;
São Paulo;Penha;São Paulo;Higienópolis;;;;;
São Paulo;Santo Amaro;Não informado;Não informado;;;;;
São Paulo;Campo Limpo;Não informado;Não informado;;;;;
Nascimento de Goi√°s;Santana;São Paulo;Sé;;;;;
São Paulo;República;São Paulo;Jabaquara;;;;;
São Paulo;Higienópolis;São Paulo;Sé;;;;;
São Paulo;Sé;São Paulo;República;;;;;
São Paulo;Tucuruvi;Não informado;Não informado;;;;;
São Paulo;Vila Prudente;São Paulo;Consolação;;;;;
São Paulo;Tucuruvi;São Paulo;Sé;;;;;
São Paulo;Ipiranga;Não informado;Não informado;;;;;
São Paulo;Campo Limpo;Não informado;Não informado;;;;;
São Paulo;Consolação;Não informado;Não informado;;;;;
São Paulo;República;Não informado;Não informado;;;;;
Suzano;Higienópolis;São Paulo;Bela Vista;;;;;
São Paulo;Santo Amaro;São Paulo;Santana;;;;;
São Paulo;Penha;São Paulo;Casa Verde;;;;;
São Paulo;República;São Paulo;Pinheiros;;;;;
São Paulo;Sé;Não informado;Não informado;;;;;
São Paulo;Bela Vista;São Paulo;Sé;;;;;
São Paulo;Itaquera;São Paulo;República;;;;;
São Paulo;Jabaquara;Não informado;Não informado;;;;;
São Paulo;Lapa;Não informado;Não informado;;;;;
Rezende do Sul;Casa Verde;São Paulo;Santo Amaro;;;;;
São Paulo;Casa Verde;São Paulo;Lapa;;;;;
São Paulo;Penha;São Paulo;Santana;;;;;
Diadema;Casa Verde;São Paulo;Vila Prudente;;;;;
Ribeirão Pires;Higienópolis;Não informado;Não informado;;;;;
São Paulo;Pinheiros;São Paulo;Limão;;;;;
São Paulo;Butantã;São Paulo;Penha;;;;;
São Paulo;Vila Prudente;Não informado;Não informado;;;;;
São Paulo;Consolação;Não informado;Não informado;;;;;
São Paulo;Perdizes;São Paulo;Bela Vista;;;;;
Santos;Consolação;São Paulo;Sé;;;;;
Diadema;Limão;São Paulo;Tatuapé;;;;;
São Paulo;Campo Limpo;São Paulo;Consolação;;;;;
São Paulo;Penha;São Paulo;Casa Verde;;;;;
São Paulo;Casa Verde;São Paulo;Penha;;;;;
São Paulo;Pinheiros;Não informado;Não informado;;;;;
Rocha;Santana;São Paulo;República;;;;;
Lima de Azevedo;Campo Limpo;São Paulo;Bela Vista;;;;;
São Paulo;Higienópolis;São Paulo;República;;;;;
São Paulo;Vila Prudente;São Paulo;República;;;;;
São Paulo;Santana;São Paulo;Casa Verde;;;;;
São Paulo;Campo Limpo;São Paulo;Tucuruvi;;;;;
São Paulo;Tucuruvi;São Paulo;República;;;;;
São Paulo;Campo Limpo;Não informado;Não informado;;;;;
São Paulo;Consolação;São Paulo;Bela Vista;;;;;
São Paulo;Butantã;Não informado;Não informado;;;;;
São Paulo;Tucuruvi;Não informado;Não informado;;;;;
São Paulo;Casa Verde;São Paulo;Higienópolis;;;;;
São Paulo;Perdizes;Não informado;Não informado;;;;;
São Paulo;Limão;São Paulo;Consolação;;;;;
São Paulo;Limão;São Paulo;Bela Vista;;;;;
São Paulo;Consolação;Não informado;Não informado;;;;;
São Paulo;Consolação;São Paulo;Jabaquara;;;;;
São Paulo;Santo Amaro;São Paulo;Itaquera;;;;;
São Paulo;Pinheiros;São Paulo;Sé;;;;;
São Paulo;Higienópolis;São Paulo;Bela Vista;;;;;
São Paulo;Limão;São Paulo;Higienópolis;;;;;
São Paulo;Itaquera;Não informado;Não informado;;;;;
São Paulo;Sé;Não informado;Não informado;;;;;
São Paulo;Santo Amaro;Não informado;Não informado;;;;;
São Paulo;Ipiranga;São Paulo;Santana;;;;;
São Paulo;Limão;São Paulo;Sé;;;;;
São Paulo;Santana;Não informado;Não informado;;;;;
São Paulo;República;São Paulo;Consolação;;;;;
São Paulo;Ipiranga;São Paulo;Santana;;;;;
São Paulo;Tatuapé;Não informado;Não informado;;;;;
São Paulo;Jabaquara;São Paulo;Higienópolis;;;;;
São Paulo;Campo Limpo;São Paulo;Butantã;;;;;
São Paulo;Casa Verde;Não informado;Não informado;;;;;
São Paulo;Campo Limpo;Não informado;Não informado;;;;;
São Paulo;Pinheiros;Não informado;Não informado;;;;;
São Paulo;Higienópolis;Não informado;Não informado;;;;;
São Paulo;Penha;São Paulo;Vila Prudente;;;;;
São Paulo;Perdizes;São Paulo;Santo Amaro;;;;;
São Paulo;Higienópolis;São Paulo;Sé;;;;;
São Paulo;Santana;São Paulo;Sé;;;;;
São Paulo;Perdizes;São Paulo;Sé;;;;;
São Paulo;Ipiranga;São Paulo;Tucuruvi;;;;;
São Paulo;Consolação;São Paulo;Higienópolis;;;;;
São Paulo;Tucuruvi;São Paulo;Ipiranga;;;;;
São Paulo;Perdizes;Não informado;Não informado;;;;;
São Paulo;Bela Vista;São Paulo;Sé;;;;;
São Paulo;Bela Vista;São Paulo;Casa Verde;;;;;
São Paulo;Tatuapé;São Paulo;Consolação;;;;;
São Paulo;Santana;São Paulo;Consolação;;;;;
São Paulo;Sé;Não informado;Não informado;;;;;
São Paulo;Jabaquara;Não informado;Não informado;;;;;
São Paulo;Sé;São Paulo;Santana;;;;;
São Paulo;Itaquera;São Paulo;Sé;;;;;
São Paulo;Consolação;Não informado;Não informado;;;;;
São Paulo;Penha;Não informado;Não informado;;;;;
São Paulo;República;São Paulo;Higienópolis;;;;;
São Paulo;Butantã;São Paulo;Tucuruvi;;;;;
Nascimento;Ipiranga;Não informado;Não informado;;;;;
São Paulo;Limão;São Paulo;Sé;;;;;
São Paulo;Jabaquara;São Paulo;Pinheiros;;;;;
São Paulo;Perdizes;Não informado;Não informado;;;;;
São Paulo;Butantã;São Paulo;Casa Verde;;;;;
São Paulo;Perdizes;Não informado;Não informado;;;;;
São Paulo;Santo Amaro;São Paulo;Tucuruvi;;;;;
São Paulo;Consolação;Não informado;Não informado;;;;;
São Paulo;Ipiranga;São Paulo;Higienópolis;;;;;
São Paulo;Santana;Não informado;Não informado;;;;;
Suzano;Casa Verde;São Paulo;Butantã;;;;;
São Paulo;Itaquera;Não informado;Não informado;;;;;
São Paulo;Perdizes;Não informado;Não informado;;;;;
São Paulo;Pinheiros;São Paulo;Tatuapé;;;;;
São Paulo;Santana;Não informado;Não informado;;;;;
São Paulo;Jabaquara;São Paulo;Itaquera;;;;;
São Paulo;Vila Prudente;São Paulo;Butantã;;;;;
São Paulo;Jabaquara;Não informado;Não informado;;;;;
Martins;Tatuapé;São Paulo;Pinheiros;;;;;
São Paulo;Santana;São Paulo;República;;;;;
São Paulo;Tatuapé;São Paulo;República;;;;;
São Paulo;Vila Prudente;São Paulo;Consolação;;;;;
Martins dos Dourados;Perdizes;São Paulo;Limão;;;;;
São Paulo;Pinheiros;Não informado;Não informado;;;;;
São Paulo;Perdizes;São Paulo;Bela Vista;;;;;
São Paulo;Santo Amaro;Não informado;Não informado;;;;;
São Paulo;Santana;Não informado;Não informado;;;;;
São Paulo;Vila Prudente;São Paulo;Bela Vista;;;;;
Jesus;Sé;São Paulo;Santana;;;;;
São Paulo;Higienópolis;Não informado;Não informado;;;;;
São Paulo;Perdizes;São Paulo;Jabaquara;;;;;
São Paulo;Penha;São Paulo;Jabaquara;;;;;
São Paulo;República;São Paulo;Bela Vista;;;;;
São Paulo;Tucuruvi;São Paulo;Higienópolis;;;;;
São Paulo;Itaquera;São Paulo;Sé;;;;;
São Paulo;Santana;Não informado;Não informado;;;;;
São Paulo;Perdizes;São Paulo;Sé;;;;;
São Paulo;Higienópolis;São Paulo;Higienópolis;;;;;
São Paulo;Ipiranga;São Paulo;Higienópolis;;;;;
Santo André;Higienópolis;Não informado;Não informado;;;;;
São Paulo;Casa Verde;São Paulo;República;;;;;
São Paulo;Ipiranga;Não informado;Não informado;;;;;
São Paulo;Casa Verde;São Paulo;República;;;;;
São Paulo;Casa Verde;São Paulo;Tucuruvi;;;;;
São Paulo;Campo Limpo;São Paulo;Sé;;;;;
São Paulo;Santana;São Paulo;Sé;;;;;
São Paulo;Campo Limpo;Não informado;Não informado;;;;;
São Paulo;Itaquera;Não informado;Não informado;;;;;
São Paulo;Ipiranga;Não informado;Não informado;;;;;
Campos Grande;Butantã;São Paulo;Santana;;;;;
São Paulo;Casa Verde;Não informado;Não informado;;;;;
São Paulo;Casa Verde;Não informado;Não informado;;;;;
São Paulo;Ipiranga;São Paulo;Casa Verde;;;;;
São Paulo;Penha;Não informado;Não informado;;;;;
São Paulo;Pinheiros;São Paulo;Butantã;;;;;
São Paulo;Santana;São Paulo;República;;;;;
Nogueira;Bela Vista;Não informado;Não informado;;;;;
São Paulo;República;Não informado;Não informado;;;;;
Diadema;Centro;Não informado;Não informado;;;;;
São Paulo;Butantã;São Paulo;Tucuruvi;;;;;
Ribeirão Pires;Vila Prudente;São Paulo;Higienópolis;;;;;
São Paulo;Tucuruvi;São Paulo;Bela Vista;;;;;
São Paulo;Limão;Não informado;Não informado;;;;;
São Paulo;Casa Verde;Não informado;Não informado;;;;;
São Paulo;Vila Prudente;Não informado;Não informado;;;;;
São Paulo;Limão;São Paulo;República;;;;;
São Paulo;Tucuruvi;São Paulo;Consolação;;;;;
São Paulo;Sé;Não informado;Não informado;;;;;
São Paulo;Itaquera;São Paulo;Butantã;;;;;
São Paulo;Santo Amaro;São Paulo;Higienópolis;;;;;
São Paulo;Bela Vista;São Paulo;Higienópolis;;;;;
Ribeirão Pires;Itaquera;São Paulo;Consolação;;;;;
São Paulo;Higienópolis;Não informado;Não informado;;;;;
São Paulo;Higienópolis;São Paulo;Sé;;;;;
São Paulo;Lapa;São Paulo;Consolação;;;;;
São Paulo;Pinheiros;Não informado;Não informado;;;;;
Diadema;Centro;São Paulo;Limão;;;;;
São Paulo;Higienópolis;Não informado;Não informado;;;;;
São Paulo;Casa Verde;São Paulo;Casa Verde;;;;;
São Paulo;Jabaquara;São Paulo;Bela Vista;;;;;
São Paulo;Campo Limpo;São Paulo;Sé;;;;;
Suzano;Vila Prudente;São Paulo;República;;;;;
São Paulo;Itaquera;Não informado;Não informado;;;;;
São Paulo;Lapa;São Paulo;Limão;;;;;
São Paulo;República;São Paulo;República;;;;;
São Paulo;Campo Limpo;Não informado;Não informado;;;;;
São Paulo;Tucuruvi;São Paulo;Sé;;;;;
São Paulo;Butantã;Não informado;Não informado;;;;;
São Paulo;República;São Paulo;Sé;;;;;
São Paulo;Consolação;Não informado;Não informado;;;;;
São Paulo;Bela Vista;São Paulo;República;;;;;
São Paulo;Higienópolis;São Paulo;Santana;;;;;
São Paulo;Casa Verde;São Paulo;Lapa;;;;;
Moura;Campo Limpo;São Paulo;Butantã;;;;;
São Paulo;Tucuruvi;Não informado;Não informado;;;;;
São Paulo;Consolação;São Paulo;Tucuruvi;;;;;
São Paulo;Perdizes;São Paulo;Consolação;;;;;
São Paulo;Penha;Não informado;Não informado;;;;;
São Paulo;Consolação;São Paulo;República;;;;;
São Paulo;Jabaquara;São Paulo;Itaquera;;;;;
São Paulo;Santana;Não informado;Não informado;;;;;
São Paulo;Pinheiros;Não informado;Não informado;;;;;
São Paulo;República;São Paulo;Jabaquara;;;;;
São Paulo;Vila Prudente;Não informado;Não informado;;;;;
São Paulo;Bela Vista;Não informado;Não informado;;;;;
São Paulo;Santo Amaro;Não informado;Não informado;;;;;
São Paulo;Tatuapé;São Paulo;Higienópolis;;;;;
São Paulo;Santo Amaro;Não informado;Não informado;;;;;
São Paulo;Santana;São Paulo;Consolação;;;;;
Nogueira de Arag√£o;Itaquera;Não informado;Não informado;;;;;
São Paulo;Vila Prudente;Não informado;Não informado;;;;;
São Paulo;Consolação;Não informado;Não informado;;;;;
Osasco;Tucuruvi;Não informado;Não informado;;;;;
São Paulo;Higienópolis;São Paulo;Higienópolis;;;;;
São Paulo;Campo Limpo;São Paulo;Tatuapé;;;;;
Santo André;Itaquera;São Paulo;Vila Prudente;;;;;
São Paulo;Vila Prudente;São Paulo;República;;;;;
São Paulo;Vila Prudente;Não informado;Não informado;;;;;
São Paulo;Higienópolis;São Paulo;Higienópolis;;;;;
São Paulo;Higienópolis;Não informado;Não informado;;;;;
São Paulo;Limão;Não informado;Não informado;;;;;
São Paulo;Itaquera;São Paulo;Casa Verde;;;;;
São Paulo;Higienópolis;Não informado;Não informado;;;;;
São Paulo;Sé;São Paulo;República;;;;;
São Paulo;Higienópolis;Não informado;Não informado;;;;;
São Paulo;Tatuapé;São Paulo;Casa Verde;;;;;
São Paulo;Perdizes;São Paulo;Pinheiros;;;;;
São Paulo;Jabaquara;São Paulo;Santana;;;;;
São Paulo;Penha;Não informado;Não informado;;;;;
São Bernardo;Casa Verde;São Paulo;Itaquera;;;;;
Osasco;Itaquera;São Paulo;Consolação;;;;;
São Paulo;Higienópolis;Não informado;Não informado;;;;;
São Paulo;Higienópolis;Não informado;Não informado;;;;;
São Paulo;Sé;São Paulo;Higienópolis;;;;;
São Paulo;Penha;São Paulo;Tucuruvi;;;;;
São Paulo;Higienópolis;São Paulo;Sé;;;;;
São Paulo;Jabaquara;Não informado;Não informado;;;;;
São Paulo;Butantã;Não informado;Não informado;;;;;
São Paulo;Consolação;São Paulo;Bela Vista;;;;;
São Paulo;Perdizes;Não informado;Não informado;;;;;
São Bernardo;Ipiranga;Não informado;Não informado;;;;;
São Paulo;Pinheiros;São Paulo;Sé;;;;;
São Paulo;República;São Paulo;República;;;;;
São Paulo;Higienópolis;São Paulo;Bela Vista;;;;;
São Paulo;Higienópolis;Não informado;Não informado;;;;;
São Paulo;Campo Limpo;São Paulo;Sé;;;;;
São Paulo;Perdizes;São Paulo;Tatuapé;;;;;
Diadema;Consolação;São Paulo;Lapa;;;;;
São Paulo;Consolação;São Paulo;República;;;;;
São Paulo;Limão;São Paulo;Consolação;;;;;
São Paulo;Butantã;Não informado;Não informado;;;;;
