data;nome_estabelecimento;bairro_estabelecimento;categoria_estabelecimento;tipo_cupom;valor_cupom;repasse_picmoney
22/07/2025;Lavoisier;Santo Amaro;Clínicas de Saúde e Bem-estar;Produto;249.4;12.93
06/07/2025;Octavio Café;Butantã;Cafeterias e Bistrôs Modernos;Produto;812.3;24.48
07/07/2025;Clube Pinheiros;Sé;Igrejas e Lojas de Artigos Religiosos;Produto;253.17;3.42
11/07/2025;Ponto;Consolação;Bancos e Casas Lotéricas;Desconto;205.28;69.1
16/07/2025;Just Run;Lapa;Academias e Studios Fitness;Produto;276.23;8.18
16/07/2025;Droga Raia;Tucuruvi;Farmácias e Drogarias;Cashback;712.09;35.6
03/07/2025;Casas Bahia;Itaquera;Fisioterapia e Terapias Complementares;Desconto;401.13;140.86
16/07/2025;Clube Pinheiros;Campo Limpo;Clubes e Centros de Convivência;Produto;147.37;5.29
13/07/2025;Clube Pinheiros;Itaquera;Papelarias, Livrarias e Lojas de Escritório;Desconto;167.25;62.04
11/07/2025;Fleury;Limão;Clínicas de Saúde e Bem-estar;Cashback;631.27;31.56
20/07/2025;Drogaria São Paulo;Tatuapé;Restaurantes com comida caseira;Desconto;586.19;183.54
01/07/2025;McDonald's;Bela Vista;Produtos Naturais e Fitoterápicos;Desconto;698.05;190.48
11/07/2025;Açaí no Ponto;Limão;Lanchonetes e Fast-Food;Cashback;447.76;22.39
08/07/2025;Habib's;Sé;Lojas de Moda Urbana e Alternativa;Desconto;586.48;198.26
13/07/2025;Drogasil;Santana;Farmácias e Drogarias;Cashback;705.94;35.3
06/07/2025;Outback;Higienópolis;Lojas de Roupas e Calçados;Desconto;524.48;67.66
03/07/2025;Açaí no Ponto;Limão;Lanchonetes e Fast-Food;Cashback;716.15;35.81
15/07/2025;Extra;República;Postos de Combustível e Serviços Automotivos;Produto;209.36;8.18
09/07/2025;McDonald's;Pinheiros;Cinema e Streaming Experience Stores;Desconto;171.67;73.1
11/07/2025;Selfit;Vila Prudente;Lojas de Móveis e Decoração;Desconto;167.44;73.5
25/07/2025;Droga Raia;Vila Prudente;Farmácias e Drogarias;Desconto;909.54;317.57
26/07/2025;Riachuelo;Consolação;Barbearias/Salões com estética jovem;Desconto;341.07;38.46
23/07/2025;Sesc Paulista;Santana;Fisioterapia e Terapias Complementares;Produto;168.73;8.49
20/07/2025;Sabin;Penha;Clínicas de Saúde e Bem-estar;Cashback;397.89;19.89
11/07/2025;Magazine Luiza;Sé;Lojas de Roupas e Calçados;Cashback;761.11;38.06
24/07/2025;Selfit;Jabaquara;Academias e Studios Fitness;Produto;231.23;11.02
28/07/2025;Starbucks;Jabaquara;Supermercados de Bairro e Mercadinhos;Produto;912.91;53.34
22/07/2025;Pão de Açúcar;Pinheiros;Supermercados e Mercados Express;Produto;143.03;6.36
31/07/2025;Forever 21;Bela Vista;Lojas de Roupas e Sneakers;Produto;100.39;5.33
18/07/2025;Sabin;Consolação;Clínicas de Saúde e Bem-estar;Produto;416.76;24.73
30/07/2025;Riachuelo;Sé;Lojas de Roupas e Sneakers;Cashback;120.48;6.02
07/07/2025;Casas Bahia;Itaquera;Barbearias/Salões com estética jovem;Produto;518.79;16.55
03/07/2025;Drogaria São Paulo;Higienópolis;Farmácias e Drogarias;Produto;515.64;12.04
18/07/2025;Droga Raia;Campo Limpo;Farmácias e Drogarias;Cashback;323.05;16.15
29/07/2025;Just Run;Ipiranga;Fisioterapia e Terapias Complementares;Desconto;311.15;49.43
14/07/2025;Sesc Paulista;Higienópolis;Lojas de Roupas e Calçados;Cashback;950.78;47.54
21/07/2025;Sesc Carmo;Itaquera;Barbearias/Salões com estética jovem;Produto;463.45;20.13
21/07/2025;Fleury;Campo Limpo;Barbearias/Salões com estética jovem;Cashback;637.39;31.87
13/07/2025;Lavoisier;Higienópolis;Lojas de Móveis e Decoração;Desconto;246.72;95.01
25/07/2025;Pão de Açúcar;Santana;Barbearias/Salões com estética jovem;Cashback;457.91;22.9
05/07/2025;Drogasil;Limão;Farmácias e Drogarias;Desconto;687.25;98.77
18/07/2025;Renner;Campo Limpo;Lojas de Roupas e Sneakers;Desconto;532.89;218.14
31/07/2025;Riachuelo;Sé;Supermercados de Bairro e Mercadinhos;Desconto;613.5;175.6
27/07/2025;Madero;Butantã;Restaurantes e Gastronomia;Desconto;993.24;368.79
05/07/2025;Café Cultura;Pinheiros;Cafeterias e Bistrôs Modernos;Cashback;898.66;44.93
27/07/2025;McDonald's;Santo Amaro;Lojas de Roupas e Calçados;Desconto;183.52;58.73
04/07/2025;Drogaria São Paulo;Bela Vista;Farmácias e Drogarias;Cashback;560.31;28.02
22/07/2025;Carrefour Express;Vila Prudente;Lojas de Roupas e Calçados;Desconto;862.31;241.83
25/07/2025;Sesc Carmo;Jabaquara;Produtos Naturais e Fitoterápicos;Cashback;919.09;45.95
17/07/2025;Forever 21;Itaquera;Lojas de Roupas e Sneakers;Produto;175.01;5.78
21/07/2025;Droga Raia;Penha;Farmácias e Drogarias;Produto;517.39;27.3
04/07/2025;Sabin;Consolação;Clínicas de Saúde e Bem-estar;Cashback;884.48;44.22
24/07/2025;Clube Pinheiros;Jabaquara;Postos de Combustível e Serviços Automotivos;Desconto;907.38;141.17
04/07/2025;Drogaria São Paulo;Vila Prudente;Bancos, Agências e Correspondentes;Produto;291.73;9.36
10/07/2025;Sesc Paulista;Itaquera;Calçados Confortáveis e Ortopédicos;Produto;581.49;17.63
05/07/2025;Outback;Tucuruvi;Papelarias, Livrarias e Lojas de Escritório;Desconto;771.22;239.8
28/07/2025;Selfit;Campo Limpo;Calçados Confortáveis e Ortopédicos;Produto;350.29;7.76
05/07/2025;Clube Pinheiros;Penha;Clubes e Centros de Convivência;Produto;204.72;7.75
18/07/2025;Churrascaria Boi Preto;Campo Limpo;Postos de Combustível e Serviços Automotivos;Cashback;963.74;48.19
18/07/2025;Just Run;Itaquera;Lojas de Roupas e Calçados;Desconto;921.6;106.65
21/07/2025;Ráscal;Consolação;Lojas de Moda Urbana e Alternativa;Desconto;166.65;65.05
13/07/2025;Drogasil;Casa Verde;Farmácias e Drogarias;Desconto;793.16;172.36
28/07/2025;Extra;Sé;Supermercados e Mercados Express;Desconto;647.56;294.38
02/07/2025;McDonald's;Vila Prudente;Lojas de Eletrodomésticos e Utilidades Domésticas;Cashback;414.01;20.7
19/07/2025;Smart Fit;Penha;Clínicas Médicas e Laboratórios;Cashback;434.75;21.74
04/07/2025;Riachuelo;Santo Amaro;Lojas de Roupas e Sneakers;Desconto;787.35;181.99
05/07/2025;Carrefour Express;Pinheiros;Produtos Naturais e Fitoterápicos;Cashback;590.2;29.51
26/07/2025;Ráscal;Sé;Restaurantes e Gastronomia;Produto;146.14;6.58
23/07/2025;Habib's;Lapa;Calçados Confortáveis e Ortopédicos;Desconto;553.8;166.26
28/07/2025;Droga Raia;Tatuapé;Farmácias e Drogarias;Desconto;572.88;151.12
07/07/2025;Clube Pinheiros;Perdizes;Clubes e Centros de Convivência;Cashback;660.87;33.04
22/07/2025;Renner;Tucuruvi;Bancos, Agências e Correspondentes;Desconto;856.93;224.89
20/07/2025;Droga Raia;Perdizes;Produtos Naturais e Fitoterápicos;Desconto;646.64;200.81
16/07/2025;Casas Bahia;Vila Prudente;Lojas de Roupas e Calçados;Produto;331.35;15.94
10/07/2025;Burger King;Butantã;Cinema e Streaming Experience Stores;Produto;801.38;18.78
18/07/2025;Sabin;Tatuapé;Clínicas de Saúde e Bem-estar;Produto;666.64;10.6
21/07/2025;Droga Raia;Lapa;Barbearias/Salões com estética jovem;Cashback;757.3;37.87
11/07/2025;Drogasil;Tatuapé;Farmácias e Drogarias;Produto;402.82;19.48
19/07/2025;Just Run;Lapa;Lojas de Móveis e Decoração;Desconto;783.13;339.82
28/07/2025;Magazine Luiza;Higienópolis;Produtos Naturais e Fitoterápicos;Cashback;709.61;35.48
27/07/2025;Sesc Carmo;Penha;Lojas de Roupas e Calçados;Cashback;557.77;27.89
19/07/2025;Drogaria São Paulo;Casa Verde;Farmácias e Drogarias;Desconto;801.92;172.16
30/07/2025;McDonald's;Limão;Barbearias/Salões com estética jovem;Desconto;195.67;56.29
03/07/2025;Casas Bahia;Perdizes;Supermercados de Bairro e Mercadinhos;Produto;700.64;21.53
07/07/2025;Magazine Luiza;Bela Vista;Lojas de Moda Urbana e Alternativa;Cashback;196.79;9.84
17/07/2025;Drogasil;Bela Vista;Coworkings e Centros de Estudo/Conexão;Desconto;128.89;13.47
22/07/2025;Outback;Santo Amaro;Lojas de Móveis e Decoração;Desconto;654.09;245.81
07/07/2025;Burger King;Santana;Bancos, Agências e Correspondentes;Cashback;367.74;18.39
27/07/2025;Forever 21;Pinheiros;Calçados Confortáveis e Ortopédicos;Desconto;855.86;388.92
06/07/2025;Subway;República;Bancos e Casas Lotéricas;Produto;483.86;12.34
22/07/2025;Renner;Vila Prudente;Igrejas e Lojas de Artigos Religiosos;Cashback;970.15;48.51
29/07/2025;Carrefour Express;Tatuapé;Lojas de Moda Urbana e Alternativa;Cashback;613.96;30.7
25/07/2025;Habib's;Lapa;Bancos e Casas Lotéricas;Produto;385.04;11.89
17/07/2025;Lavoisier;Tatuapé;Cinema e Streaming Experience Stores;Desconto;740.48;189.56
25/07/2025;Açaí no Ponto;Bela Vista;Lanchonetes e Fast-Food;Produto;962.46;41.75
19/07/2025;Churrascaria Boi Preto;Casa Verde;Restaurantes com comida caseira;Cashback;268.34;13.42
30/07/2025;Smart Fit;Santana;Academias e Studios Fitness;Cashback;171.07;8.55
14/07/2025;Café Cultura;Perdizes;Lojas de Eletrônicos e Games;Desconto;243.3;76.61
06/07/2025;Casas Bahia;Butantã;Lojas de Roupas e Calçados;Desconto;284.98;120.57
09/07/2025;Droga Raia;Vila Prudente;Lojas de Eletrônicos e Games;Produto;197.32;5.23
03/07/2025;Just Run;Higienópolis;Coworkings e Centros de Estudo/Conexão;Desconto;974.79;248.5
29/07/2025;Drogaria São Paulo;República;Farmácias e Drogarias;Cashback;512.14;25.61
08/07/2025;Riachuelo;Campo Limpo;Lojas de Móveis e Decoração;Produto;133.64;3.23
31/07/2025;Sabin;Pinheiros;Clínicas de Saúde e Bem-estar;Cashback;345.34;17.27
12/07/2025;Ponto;Itaquera;Calçados Confortáveis e Ortopédicos;Cashback;621.05;31.05
14/07/2025;Renner;Ipiranga;Lojas de Roupas e Sneakers;Produto;414.93;15.85
22/07/2025;Forever 21;Tucuruvi;Postos de Combustível e Serviços Automotivos;Produto;727.34;9.33
10/07/2025;Café Cultura;Penha;Cafeterias e Bistrôs Modernos;Cashback;267.76;13.39
02/07/2025;Sesc Carmo;Pinheiros;Clubes e Centros de Convivência;Cashback;504.37;25.22
16/07/2025;Just Run;Perdizes;Cinema e Streaming Experience Stores;Desconto;365.43;39.82
12/07/2025;Sesc Paulista;Casa Verde;Clubes e Centros de Convivência;Cashback;732.4;36.62
21/07/2025;Subway;Sé;Postos de Combustível e Serviços Automotivos;Produto;618.48;34.59
17/07/2025;Forever 21;Campo Limpo;Bancos e Casas Lotéricas;Produto;646.65;7.96
25/07/2025;Ráscal;Sé;Barbearias/Salões com estética jovem;Cashback;691.59;34.58
27/07/2025;Fleury;República;Clínicas de Saúde e Bem-estar;Desconto;120.97;14.6
11/07/2025;Droga Raia;Perdizes;Farmácias e Drogarias;Cashback;956.37;47.82
22/07/2025;Churrascaria Boi Preto;Vila Prudente;Igrejas e Lojas de Artigos Religiosos;Produto;394.31;9.78
28/07/2025;Sesc Paulista;Pinheiros;Clubes e Centros de Convivência;Produto;595.29;15.82
16/07/2025;Selfit;Lapa;Academias e Studios Fitness;Cashback;614.11;30.71
19/07/2025;Starbucks;Sé;Bancos e Casas Lotéricas;Produto;505.46;21.75
31/07/2025;Magazine Luiza;Itaquera;Calçados Confortáveis e Ortopédicos;Cashback;240.35;12.02
29/07/2025;Carrefour Express;Tucuruvi;Supermercados e Mercados Express;Cashback;780.7;39.04
05/07/2025;Sesc Carmo;Consolação;Calçados Confortáveis e Ortopédicos;Produto;350.16;6.31
27/07/2025;Burger King;Butantã;Lojas de Móveis e Decoração;Desconto;652.57;254.09
08/07/2025;Café Cultura;Pinheiros;Coworkings e Centros de Estudo/Conexão;Desconto;410.08;184.38
10/07/2025;Sesc Carmo;Penha;Clubes e Centros de Convivência;Produto;524.97;10.83
09/07/2025;Forever 21;Limão;Bancos, Agências e Correspondentes;Desconto;200.04;36.6
26/07/2025;Octavio Café;Tatuapé;Lojas de Móveis e Decoração;Cashback;853.87;42.69
03/07/2025;Extra;Perdizes;Lojas de Roupas e Calçados;Produto;127.02;1.83
28/07/2025;Starbucks;Bela Vista;Espaços Culturais e de Experiência Interativa;Desconto;692.73;268.91
31/07/2025;Subway;Lapa;Lojas de Eletrônicos e Games;Desconto;837.53;161.17
27/07/2025;McDonald's;Santana;Lojas de Roupas e Calçados;Cashback;717.82;35.89
16/07/2025;Pão de Açúcar;Jabaquara;Supermercados e Mercados Express;Produto;579.6;21.21
03/07/2025;Drogasil;Consolação;Igrejas e Lojas de Artigos Religiosos;Desconto;963.5;425.89
15/07/2025;Magazine Luiza;Pinheiros;Produtos Naturais e Fitoterápicos;Produto;479.26;6.43
11/07/2025;Selfit;Vila Prudente;Academias e Studios Fitness;Cashback;312.89;15.64
06/07/2025;Droga Raia;Perdizes;Farmácias e Drogarias;Desconto;233.77;62.1
14/07/2025;McDonald's;Jabaquara;Lanchonetes e Fast-Food;Desconto;136.2;42.14
22/07/2025;Magazine Luiza;Pinheiros;Fisioterapia e Terapias Complementares;Produto;236.82;2.7
29/07/2025;Madero;Tucuruvi;Igrejas e Lojas de Artigos Religiosos;Produto;190.99;5.42
27/07/2025;Octavio Café;Bela Vista;Cafeterias e Bistrôs Modernos;Cashback;255.17;12.76
17/07/2025;Subway;Penha;Lojas de Roupas e Calçados;Cashback;246.45;12.32
11/07/2025;Burger King;Campo Limpo;Espaços Culturais e de Experiência Interativa;Cashback;181.33;9.07
21/07/2025;Lavoisier;Sé;Lojas de Moda Urbana e Alternativa;Cashback;142.38;7.12
28/07/2025;Ponto;Bela Vista;Calçados Confortáveis e Ortopédicos;Desconto;265.67;76.11
09/07/2025;Habib's;Bela Vista;Lanchonetes e Fast-Food;Cashback;286.54;14.33
14/07/2025;Octavio Café;Ipiranga;Papelarias, Livrarias e Lojas de Escritório;Produto;735.08;21.42
25/07/2025;Sesc Paulista;Vila Prudente;Lojas de Eletrônicos e Games;Desconto;894.36;320.93
06/07/2025;Churrascaria Boi Preto;Tucuruvi;Espaços Culturais e de Experiência Interativa;Desconto;362.82;56.7
02/07/2025;Forever 21;Campo Limpo;Lojas de Moda Urbana e Alternativa;Cashback;230.41;11.52
05/07/2025;Burger King;Itaquera;Lojas de Moda Urbana e Alternativa;Cashback;399.33;19.97
16/07/2025;Pão de Açúcar;Tatuapé;Supermercados e Mercados Express;Desconto;103.9;35.91
24/07/2025;Casas Bahia;Santana;Clínicas Médicas e Laboratórios;Desconto;755.4;154.11
26/07/2025;Lavoisier;Sé;Clínicas de Saúde e Bem-estar;Desconto;854.57;354.68
04/07/2025;Café Cultura;Butantã;Supermercados de Bairro e Mercadinhos;Cashback;724.13;36.21
16/07/2025;Sesc Paulista;Jabaquara;Cinema e Streaming Experience Stores;Cashback;622.24;31.11
05/07/2025;Octavio Café;Itaquera;Lojas de Móveis e Decoração;Cashback;733.51;36.68
12/07/2025;Carrefour Express;República;Espaços Culturais e de Experiência Interativa;Cashback;288.61;14.43
31/07/2025;McDonald's;República;Fisioterapia e Terapias Complementares;Produto;408.04;5.39
05/07/2025;Fleury;República;Produtos Naturais e Fitoterápicos;Cashback;678.8;33.94
31/07/2025;McDonald's;Tucuruvi;Bancos e Casas Lotéricas;Cashback;832.63;41.63
25/07/2025;Subway;Vila Prudente;Lanchonetes e Fast-Food;Desconto;815.17;325.28
18/07/2025;Magazine Luiza;Limão;Clínicas Médicas e Laboratórios;Cashback;936.26;46.81
22/07/2025;Açaí no Ponto;Bela Vista;Lanchonetes e Fast-Food;Desconto;184.82;25.92
08/07/2025;Sesc Carmo;Butantã;Coworkings e Centros de Estudo/Conexão;Desconto;837.56;410.23
20/07/2025;Lavoisier;Butantã;Clínicas de Saúde e Bem-estar;Produto;228.36;4.33
16/07/2025;Riachuelo;Consolação;Bancos, Agências e Correspondentes;Cashback;468.79;23.44
02/07/2025;Drogaria São Paulo;Limão;Restaurantes com comida caseira;Produto;275.79;6.44
16/07/2025;Casas Bahia;Lapa;Cinema e Streaming Experience Stores;Cashback;518.49;25.92
02/07/2025;Riachuelo;Lapa;Lojas de Roupas e Sneakers;Desconto;356.14;68.91
18/07/2025;Carrefour Express;Butantã;Fisioterapia e Terapias Complementares;Produto;501.29;26.57
06/07/2025;Octavio Café;Sé;Lojas de Móveis e Decoração;Desconto;490.82;98.47
15/07/2025;Sesc Paulista;Ipiranga;Lojas de Móveis e Decoração;Desconto;973.18;386.85
11/07/2025;Extra;Tatuapé;Lojas de Móveis e Decoração;Cashback;139.24;6.96
04/07/2025;Droga Raia;Sé;Lojas de Móveis e Decoração;Desconto;714.34;189.48
16/07/2025;Clube Pinheiros;Bela Vista;Lojas de Roupas e Calçados;Desconto;666.6;164.65
16/07/2025;Droga Raia;Bela Vista;Postos de Combustível e Serviços Automotivos;Produto;645.18;7.58
15/07/2025;Magazine Luiza;Penha;Lojas de Moda Urbana e Alternativa;Produto;815.76;41.19
21/07/2025;Lavoisier;Limão;Clínicas Médicas e Laboratórios;Cashback;362.06;18.1
17/07/2025;Outback;Consolação;Restaurantes e Gastronomia;Cashback;771.36;38.57
10/07/2025;Fleury;Pinheiros;Clínicas de Saúde e Bem-estar;Desconto;112.95;32.97
01/07/2025;Açaí no Ponto;Sé;Lanchonetes e Fast-Food;Cashback;819.72;40.99
29/07/2025;Extra;Ipiranga;Igrejas e Lojas de Artigos Religiosos;Produto;712.2;18.4
23/07/2025;Magazine Luiza;Casa Verde;Igrejas e Lojas de Artigos Religiosos;Produto;194.48;9.41
05/07/2025;Ráscal;República;Coworkings e Centros de Estudo/Conexão;Produto;397.79;6.67
19/07/2025;Pão de Açúcar;Perdizes;Igrejas e Lojas de Artigos Religiosos;Produto;625.88;20.08
11/07/2025;Churrascaria Boi Preto;Ipiranga;Lojas de Eletrodomésticos e Utilidades Domésticas;Produto;787.58;27.4
22/07/2025;Sesc Paulista;Limão;Papelarias, Livrarias e Lojas de Escritório;Desconto;777.22;135.72
24/07/2025;Drogaria São Paulo;Limão;Farmácias e Drogarias;Cashback;490.06;24.5
14/07/2025;Lavoisier;Higienópolis;Igrejas e Lojas de Artigos Religiosos;Desconto;350.51;134.02
09/07/2025;Casas Bahia;Casa Verde;Lojas de Roupas e Calçados;Produto;204.15;11.25
02/07/2025;Riachuelo;Vila Prudente;Cinema e Streaming Experience Stores;Desconto;429.01;92.57
03/07/2025;Drogaria São Paulo;Santana;Restaurantes com comida caseira;Cashback;490.14;24.51
24/07/2025;Sabin;Lapa;Clínicas de Saúde e Bem-estar;Cashback;804.68;40.23
25/07/2025;Pão de Açúcar;Jabaquara;Supermercados e Mercados Express;Desconto;399.67;78.04
10/07/2025;Carrefour Express;Itaquera;Supermercados e Mercados Express;Cashback;692.47;34.62
19/07/2025;Drogaria São Paulo;Itaquera;Cinema e Streaming Experience Stores;Produto;304.24;17.93
15/07/2025;Riachuelo;Casa Verde;Espaços Culturais e de Experiência Interativa;Cashback;751.61;37.58
22/07/2025;Drogaria São Paulo;Ipiranga;Produtos Naturais e Fitoterápicos;Cashback;946.39;47.32
02/07/2025;Pão de Açúcar;Campo Limpo;Lojas de Eletrônicos e Games;Produto;676.53;31.86
31/07/2025;Smart Fit;Santana;Calçados Confortáveis e Ortopédicos;Desconto;594.59;200.02
31/07/2025;Renner;Limão;Lojas de Roupas e Sneakers;Desconto;542.41;255.7
04/07/2025;Carrefour Express;Casa Verde;Bancos, Agências e Correspondentes;Produto;304.84;9.01
09/07/2025;Riachuelo;Limão;Lojas de Móveis e Decoração;Desconto;635.33;200
26/07/2025;Clube Pinheiros;Limão;Igrejas e Lojas de Artigos Religiosos;Desconto;709.71;186.88
19/07/2025;Outback;Limão;Restaurantes e Gastronomia;Desconto;819.11;125.66
17/07/2025;Madero;Jabaquara;Lojas de Eletrodomésticos e Utilidades Domésticas;Cashback;629.14;31.46
18/07/2025;Fleury;Lapa;Bancos, Agências e Correspondentes;Desconto;320.85;159.72
17/07/2025;Smart Fit;Consolação;Academias e Studios Fitness;Desconto;186.61;36.74
13/07/2025;Carrefour Express;Butantã;Supermercados e Mercados Express;Desconto;503.01;87.84
14/07/2025;Pão de Açúcar;Tatuapé;Espaços Culturais e de Experiência Interativa;Cashback;611.6;30.58
25/07/2025;Extra;Perdizes;Supermercados e Mercados Express;Cashback;576.73;28.84
06/07/2025;Forever 21;Butantã;Clínicas Médicas e Laboratórios;Desconto;934.13;389.08
27/07/2025;Forever 21;Itaquera;Lojas de Roupas e Sneakers;Cashback;444.09;22.2
08/07/2025;Renner;Lapa;Cinema e Streaming Experience Stores;Desconto;428.6;132.03
13/07/2025;Outback;Consolação;Restaurantes e Gastronomia;Produto;925.47;45.74
22/07/2025;Outback;Santo Amaro;Restaurantes e Gastronomia;Desconto;642.55;164.19
19/07/2025;Lavoisier;Higienópolis;Clínicas de Saúde e Bem-estar;Produto;372.47;16.38
03/07/2025;Starbucks;Sé;Postos de Combustível e Serviços Automotivos;Produto;295.44;4.78
09/07/2025;Renner;Sé;Lojas de Roupas e Sneakers;Produto;414.83;12.04
15/07/2025;Forever 21;Perdizes;Lojas de Roupas e Sneakers;Desconto;851.29;110.51
