horario;local;modelo_celular;ultimo_valor_capturado;idade;sexo
18:15:00;Shopping Cidade São Paulo;Samsung Galaxy A52;155.78;42;Outro
08:45:00;Esquina Rua da Paz;iPhone SE;21.83;50;Masculino
16:30:00;Shopping Cidade São Paulo;Xiaomi Redmi Note 11;330.33;29;Masculino
20:15:00;Esquina Av. Consolação;iPhone SE;77.25;48;Feminino
17:15:00;Shopping Pátio Paulista;Samsung S21;291.23;16;Masculino
14:00:00;Metrô Brigadeiro;iPhone 14 Pro;451.04;19;Masculino
20:45:00;Metrô Trianon-Masp;Samsung Galaxy A52;96.3;18;Outro
10:00:00;Esquina Av. Consolação;iPhone 14 Pro;391.66;68;Outro
17:15:00;Ponto de ônibus Augusta;Samsung Galaxy A52;303.89;57;Masculino
17:00:00;Metrô Brigadeiro;Xiaomi Redmi Note 11;399.67;26;Feminino
15:45:00;Shopping Pátio Paulista;Realme C35;393.48;24;Outro
13:00:00;Esquina Rua da Paz;Xiaomi Redmi Note 11;180.08;48;Outro
10:30:00;Metrô Brigadeiro;iPhone SE;248.23;39;Masculino
07:00:00;MASP;Motorola G60;197.82;17;Feminino
15:45:00;MASP;Motorola G60;330.99;20;Feminino
18:45:00;Metrô Trianon-Masp;Xiaomi Redmi Note 11;350.66;24;Feminino
20:30:00;Metrô Consolação;Xiaomi Redmi Note 11;109.43;17;Masculino
16:30:00;Metrô Consolação;Xiaomi Redmi Note 11;51.61;54;Outro
13:15:00;MASP;iPhone SE;49.43;68;Outro
06:45:00;MASP;Motorola G60;331.11;67;Outro
17:45:00;Ponto de ônibus Augusta;Motorola G60;429.14;57;Outro
12:30:00;Metrô Trianon-Masp;Samsung S21;111.68;62;Masculino
18:45:00;Metrô Consolação;Samsung Galaxy A52;321.59;26;Masculino
16:00:00;Shopping Cidade São Paulo;Motorola G60;253.39;46;Outro
13:30:00;MASP;Realme C35;164.08;59;Masculino
06:15:00;Metrô Consolação;Samsung S21;301.43;38;Outro
07:45:00;Ponto de ônibus Pamplona;iPhone 13;186.61;49;Outro
12:00:00;Metrô Trianon-Masp;iPhone 11;191.22;58;Outro
21:30:00;Esquina Rua da Paz;iPhone 12;197.25;34;Outro
18:00:00;Shopping Cidade São Paulo;iPhone 11;59.87;61;Feminino
15:30:00;Esquina Rua da Paz;Samsung S21;308.24;34;Feminino
18:30:00;MASP;Xiaomi Redmi Note 11;172.01;51;Feminino
08:30:00;MASP;Xiaomi Redmi Note 11;440.19;53;Masculino
07:15:00;Metrô Brigadeiro;Realme C35;83.68;23;Outro
18:30:00;Metrô Trianon-Masp;Motorola G60;285.67;35;Feminino
10:45:00;Metrô Trianon-Masp;Xiaomi Redmi Note 11;462.81;34;Outro
09:45:00;Metrô Consolação;Motorola G60;476.67;70;Outro
11:30:00;Shopping Cidade São Paulo;Motorola G60;349.82;54;Feminino
13:15:00;Metrô Consolação;Samsung Galaxy A52;54.11;19;Feminino
10:30:00;Shopping Pátio Paulista;Xiaomi Redmi Note 11;75.16;36;Masculino
18:30:00;Metrô Consolação;Samsung S21;408.08;66;Feminino
07:00:00;Metrô Brigadeiro;Samsung Galaxy A52;59.68;48;Masculino
18:15:00;Esquina Av. Consolação;iPhone 14 Pro;288.45;65;Outro
12:30:00;Esquina Rua da Paz;iPhone 14 Pro;155.92;70;Feminino
17:15:00;Metrô Consolação;Motorola G60;30.25;54;Feminino
10:45:00;Esquina Rua da Paz;Samsung S21;120.17;34;Outro
10:00:00;Ponto de ônibus Pamplona;Samsung Galaxy A52;323.56;61;Masculino
08:30:00;Ponto de ônibus Pamplona;iPhone 13;349.6;46;Outro
18:15:00;Esquina Av. Consolação;iPhone 12;331.35;28;Outro
07:45:00;Metrô Trianon-Masp;iPhone 13;109.59;20;Outro
17:30:00;Shopping Cidade São Paulo;Xiaomi Redmi Note 11;27.57;27;Outro
17:00:00;MASP;Realme C35;454.56;54;Masculino
07:15:00;Metrô Trianon-Masp;Samsung Galaxy A52;275.6;17;Feminino
13:30:00;MASP;Xiaomi Redmi Note 11;194.2;18;Feminino
09:15:00;Metrô Consolação;iPhone 11;446.6;24;Masculino
13:30:00;Shopping Pátio Paulista;Motorola G60;417.95;31;Outro
18:45:00;Metrô Trianon-Masp;iPhone SE;353.81;65;Masculino
17:15:00;Metrô Consolação;Samsung Galaxy A52;202.05;58;Masculino
18:30:00;Shopping Pátio Paulista;Realme C35;404.86;62;Outro
11:00:00;MASP;Motorola G60;74.65;40;Feminino
17:30:00;Esquina Rua da Paz;iPhone 14 Pro;194.73;18;Feminino
08:15:00;Ponto de ônibus Pamplona;Samsung Galaxy A52;104.44;64;Outro
11:00:00;Metrô Brigadeiro;Samsung Galaxy A52;217;42;Outro
11:00:00;Esquina Av. Consolação;iPhone 14 Pro;436.15;33;Outro
13:45:00;Ponto de ônibus Pamplona;Samsung S21;151.53;43;Masculino
12:45:00;Metrô Consolação;Xiaomi Redmi Note 11;135.08;66;Feminino
19:30:00;Metrô Consolação;Samsung S21;316.78;35;Masculino
18:45:00;Metrô Trianon-Masp;Samsung S21;199.5;50;Outro
18:30:00;Metrô Trianon-Masp;iPhone 13;269.05;58;Feminino
11:45:00;Metrô Consolação;Samsung S21;473.96;22;Outro
09:30:00;Metrô Consolação;Samsung Galaxy A52;381.73;20;Outro
12:00:00;Metrô Brigadeiro;Motorola G60;378.04;61;Outro
19:45:00;Shopping Pátio Paulista;Samsung S21;164.73;36;Outro
18:45:00;Esquina Rua da Paz;Samsung Galaxy A52;229.54;28;Outro
17:15:00;MASP;iPhone 12;442.91;48;Outro
14:00:00;Ponto de ônibus Pamplona;Xiaomi Redmi Note 11;286.41;66;Masculino
17:15:00;Metrô Brigadeiro;Samsung Galaxy A52;93.27;22;Feminino
10:00:00;Ponto de ônibus Augusta;Realme C35;266.62;47;Feminino
08:00:00;Metrô Trianon-Masp;Samsung Galaxy A52;225.86;42;Outro
12:15:00;Esquina Rua da Paz;Realme C35;227.38;23;Masculino
17:00:00;Metrô Consolação;iPhone 11;305.02;46;Outro
07:30:00;Ponto de ônibus Augusta;iPhone 12;404.62;19;Feminino
07:30:00;Ponto de ônibus Pamplona;Realme C35;413.4;51;Outro
21:00:00;Metrô Brigadeiro;Xiaomi Redmi Note 11;475.95;69;Feminino
07:45:00;Esquina Av. Consolação;Samsung S21;495.59;54;Feminino
15:15:00;Metrô Brigadeiro;Realme C35;217.65;24;Feminino
12:00:00;MASP;Realme C35;249.63;57;Outro
17:00:00;MASP;Samsung S21;486.29;70;Feminino
13:45:00;Metrô Trianon-Masp;Samsung Galaxy A52;333.83;59;Masculino
17:30:00;Esquina Rua da Paz;iPhone 13;426.11;23;Outro
17:45:00;Ponto de ônibus Pamplona;iPhone 11;247.31;38;Feminino
17:00:00;Ponto de ônibus Pamplona;Motorola G60;226.68;53;Masculino
18:00:00;Ponto de ônibus Pamplona;Samsung Galaxy A52;411.95;37;Outro
17:00:00;Esquina Rua da Paz;Xiaomi Redmi Note 11;451.6;41;Outro
17:15:00;Ponto de ônibus Pamplona;Samsung Galaxy A52;229.93;68;Outro
08:00:00;MASP;Realme C35;248.64;16;Masculino
11:15:00;Shopping Cidade São Paulo;Samsung S21;422.4;66;Masculino
21:15:00;Shopping Pátio Paulista;Realme C35;138.45;57;Masculino
17:15:00;Esquina Av. Consolação;iPhone 13;316.37;66;Feminino
16:15:00;Ponto de ônibus Augusta;Xiaomi Redmi Note 11;449.74;43;Feminino
08:30:00;Ponto de ônibus Augusta;iPhone 11;461.37;33;Outro
21:30:00;Metrô Consolação;Samsung Galaxy A52;478.24;52;Outro
18:30:00;Metrô Trianon-Masp;iPhone 13;304.84;30;Masculino
19:30:00;Metrô Trianon-Masp;iPhone 12;311.65;16;Feminino
13:15:00;Ponto de ônibus Pamplona;iPhone 12;88.69;67;Outro
17:00:00;Esquina Rua da Paz;iPhone 13;353.6;60;Masculino
06:00:00;MASP;iPhone SE;328.52;62;Outro
07:45:00;Ponto de ônibus Augusta;Samsung S21;93.26;48;Outro
10:45:00;Metrô Consolação;Xiaomi Redmi Note 11;48.17;29;Masculino
07:30:00;Metrô Consolação;Samsung S21;364;50;Masculino
11:30:00;Ponto de ônibus Augusta;Motorola G60;82.68;40;Feminino
07:00:00;Shopping Pátio Paulista;Motorola G60;484.3;57;Outro
07:00:00;Shopping Cidade São Paulo;Realme C35;139.89;17;Feminino
15:45:00;Esquina Av. Consolação;iPhone SE;432.38;70;Masculino
13:15:00;MASP;Samsung S21;83.35;23;Masculino
13:45:00;Ponto de ônibus Augusta;Samsung S21;268.13;58;Masculino
16:45:00;Metrô Trianon-Masp;Motorola G60;240.93;49;Outro
09:00:00;MASP;Samsung Galaxy A52;51.1;28;Masculino
06:00:00;Metrô Consolação;Motorola G60;336.88;69;Masculino
08:30:00;Metrô Trianon-Masp;iPhone 13;478.12;46;Outro
07:00:00;Shopping Cidade São Paulo;Realme C35;52.13;40;Feminino
18:00:00;MASP;Samsung S21;291.75;16;Feminino
17:15:00;Shopping Pátio Paulista;iPhone 11;78.91;35;Feminino
06:00:00;Ponto de ônibus Pamplona;Samsung Galaxy A52;132.24;54;Masculino
12:15:00;Metrô Brigadeiro;iPhone 13;431.43;61;Feminino
13:30:00;Esquina Rua da Paz;Realme C35;177.33;18;Feminino
12:30:00;Metrô Trianon-Masp;Samsung S21;193.13;38;Masculino
09:45:00;Shopping Cidade São Paulo;Samsung Galaxy A52;452.43;41;Outro
12:45:00;Ponto de ônibus Pamplona;Realme C35;82.61;70;Outro
07:45:00;MASP;Realme C35;211.35;65;Outro
11:45:00;MASP;iPhone SE;352.75;40;Outro
07:00:00;Shopping Cidade São Paulo;Motorola G60;110.68;65;Masculino
12:30:00;Esquina Rua da Paz;iPhone 13;126.77;58;Masculino
12:45:00;Metrô Consolação;Realme C35;458.91;56;Feminino
13:15:00;Ponto de ônibus Pamplona;Realme C35;339.15;23;Outro
07:30:00;Metrô Brigadeiro;Samsung S21;362.48;34;Feminino
10:45:00;Esquina Av. Consolação;Motorola G60;128.95;69;Feminino
10:00:00;Shopping Cidade São Paulo;Samsung S21;288.64;29;Outro
17:00:00;Ponto de ônibus Pamplona;Motorola G60;330.68;52;Feminino
07:00:00;Shopping Pátio Paulista;Samsung Galaxy A52;421.32;45;Feminino
12:45:00;Esquina Av. Consolação;Realme C35;383.57;50;Outro
16:00:00;Metrô Trianon-Masp;Realme C35;441.67;64;Masculino
18:15:00;Esquina Av. Consolação;iPhone 14 Pro;264.19;59;Outro
17:30:00;Metrô Consolação;iPhone 14 Pro;174.81;20;Feminino
12:15:00;Ponto de ônibus Pamplona;Motorola G60;365.03;52;Masculino
12:45:00;Metrô Consolação;Samsung S21;214.77;59;Feminino
20:30:00;Esquina Av. Consolação;Samsung S21;125.76;35;Masculino
18:30:00;Ponto de ônibus Augusta;Xiaomi Redmi Note 11;239.99;20;Masculino
07:15:00;Esquina Rua da Paz;Samsung Galaxy A52;223.9;52;Masculino
12:30:00;Metrô Consolação;Realme C35;174.32;24;Masculino
21:00:00;Ponto de ônibus Augusta;iPhone 13;480.38;33;Outro
13:30:00;Shopping Cidade São Paulo;Motorola G60;441.28;40;Outro
13:00:00;Shopping Pátio Paulista;Motorola G60;60.69;61;Outro
17:45:00;Esquina Rua da Paz;Realme C35;398.87;21;Feminino
11:30:00;Metrô Consolação;Motorola G60;256.31;47;Masculino
09:45:00;Ponto de ônibus Pamplona;Samsung S21;253.48;43;Masculino
18:00:00;MASP;Realme C35;63.66;25;Outro
09:45:00;MASP;Motorola G60;467.27;55;Masculino
08:15:00;MASP;Realme C35;486.61;46;Masculino
14:15:00;Metrô Brigadeiro;Motorola G60;75.57;37;Outro
14:00:00;Esquina Rua da Paz;Samsung S21;219.9;66;Feminino
07:00:00;MASP;Samsung Galaxy A52;194.78;33;Outro
21:30:00;Metrô Brigadeiro;Samsung S21;148.27;49;Outro
17:00:00;Metrô Trianon-Masp;iPhone 11;123.14;61;Masculino
18:15:00;Metrô Brigadeiro;Samsung Galaxy A52;143.99;55;Feminino
18:30:00;Shopping Cidade São Paulo;Xiaomi Redmi Note 11;78.09;33;Outro
15:45:00;Esquina Rua da Paz;Xiaomi Redmi Note 11;45.51;45;Outro
18:45:00;Ponto de ônibus Augusta;iPhone 11;274.53;40;Masculino
08:15:00;Shopping Cidade São Paulo;Samsung S21;411.47;24;Feminino
13:00:00;Metrô Brigadeiro;iPhone 12;161.63;69;Outro
18:45:00;Ponto de ônibus Pamplona;Motorola G60;183.16;62;Outro
19:00:00;Shopping Pátio Paulista;Samsung Galaxy A52;232.98;26;Feminino
08:00:00;Metrô Consolação;iPhone 12;201.57;34;Masculino
15:30:00;Metrô Trianon-Masp;Realme C35;197.28;37;Feminino
10:00:00;MASP;iPhone 11;57.13;25;Outro
06:45:00;Ponto de ônibus Pamplona;iPhone 13;149.76;48;Masculino
19:15:00;Ponto de ônibus Pamplona;Realme C35;92.73;24;Outro
07:00:00;Esquina Rua da Paz;Samsung S21;327.28;47;Masculino
07:15:00;Metrô Brigadeiro;Xiaomi Redmi Note 11;142.5;57;Masculino
15:15:00;Metrô Trianon-Masp;Samsung Galaxy A52;86.52;42;Masculino
19:00:00;Metrô Brigadeiro;iPhone 11;355.97;22;Masculino
07:00:00;Metrô Consolação;iPhone SE;284.2;30;Feminino
22:00:00;Metrô Consolação;Xiaomi Redmi Note 11;330.53;65;Outro
09:30:00;MASP;Motorola G60;479.48;34;Masculino
18:30:00;Shopping Cidade São Paulo;Samsung S21;32.51;21;Masculino
15:30:00;Metrô Consolação;iPhone 14 Pro;345.53;19;Masculino
07:30:00;Ponto de ônibus Augusta;Xiaomi Redmi Note 11;437.33;65;Masculino
13:45:00;Ponto de ônibus Pamplona;Xiaomi Redmi Note 11;297.96;47;Masculino
18:00:00;Metrô Consolação;Samsung Galaxy A52;196.11;63;Feminino
07:15:00;Metrô Brigadeiro;Xiaomi Redmi Note 11;360;39;Outro
07:00:00;Metrô Trianon-Masp;Realme C35;162.62;25;Masculino
12:00:00;Shopping Cidade São Paulo;Xiaomi Redmi Note 11;227.7;34;Outro
08:30:00;Metrô Brigadeiro;Samsung S21;499.01;40;Masculino
20:45:00;Esquina Rua da Paz;Xiaomi Redmi Note 11;478.57;34;Masculino
18:30:00;Metrô Consolação;Samsung Galaxy A52;106.3;16;Outro
09:15:00;Esquina Rua da Paz;iPhone 12;416.68;37;Feminino
20:30:00;Shopping Cidade São Paulo;Realme C35;322.68;32;Feminino
13:00:00;Shopping Cidade São Paulo;Samsung Galaxy A52;358.17;59;Feminino
13:00:00;Esquina Rua da Paz;Motorola G60;14.27;27;Masculino
13:15:00;Ponto de ônibus Pamplona;Motorola G60;438.33;65;Outro
18:15:00;Metrô Brigadeiro;iPhone 12;319.28;55;Outro
10:00:00;Ponto de ônibus Pamplona;Xiaomi Redmi Note 11;148.27;43;Masculino
17:15:00;Esquina Av. Consolação;Samsung Galaxy A52;92.87;51;Masculino
07:15:00;Esquina Av. Consolação;Samsung Galaxy A52;176.09;70;Outro
06:00:00;Esquina Rua da Paz;Xiaomi Redmi Note 11;276.66;57;Feminino
07:30:00;Shopping Cidade São Paulo;Realme C35;66.67;48;Masculino
10:00:00;Shopping Cidade São Paulo;iPhone 12;95.41;25;Masculino
18:00:00;Esquina Rua da Paz;iPhone 12;98.89;56;Masculino
17:30:00;Metrô Brigadeiro;Motorola G60;364.66;33;Outro
17:30:00;Metrô Trianon-Masp;iPhone 12;282.9;70;Feminino
07:30:00;Shopping Cidade São Paulo;Samsung Galaxy A52;209.07;19;Masculino
08:30:00;Ponto de ônibus Pamplona;Samsung S21;385.98;34;Masculino
10:00:00;Metrô Trianon-Masp;Realme C35;495.61;45;Masculino
07:30:00;Metrô Trianon-Masp;Realme C35;251.99;40;Feminino
15:15:00;Metrô Brigadeiro;Xiaomi Redmi Note 11;51.63;43;Outro
17:45:00;Esquina Rua da Paz;Realme C35;33.13;56;Outro
06:30:00;Ponto de ônibus Pamplona;iPhone 12;342.98;66;Outro
08:45:00;Metrô Brigadeiro;iPhone SE;301.58;37;Outro
13:15:00;Shopping Cidade São Paulo;Samsung Galaxy A52;160.35;27;Outro
17:15:00;Esquina Av. Consolação;Xiaomi Redmi Note 11;160.06;45;Masculino
12:30:00;Shopping Cidade São Paulo;Samsung S21;224.61;41;Outro
12:15:00;Ponto de ônibus Pamplona;Motorola G60;205.69;40;Masculino
18:45:00;Ponto de ônibus Augusta;Realme C35;184.58;32;Outro
14:00:00;Esquina Av. Consolação;Motorola G60;134.89;69;Outro
17:45:00;Metrô Consolação;iPhone 13;397.71;35;Masculino
21:00:00;Ponto de ônibus Pamplona;Samsung S21;351.53;38;Outro
22:00:00;Ponto de ônibus Augusta;iPhone 12;106.86;70;Masculino
20:30:00;Shopping Pátio Paulista;Samsung S21;357.07;16;Outro
19:45:00;Ponto de ônibus Pamplona;Xiaomi Redmi Note 11;272.12;39;Masculino
18:30:00;Shopping Cidade São Paulo;Realme C35;441.11;38;Masculino
15:45:00;Esquina Av. Consolação;Xiaomi Redmi Note 11;372.96;23;Feminino
18:45:00;Ponto de ônibus Pamplona;iPhone 11;177.55;31;Feminino
07:45:00;Ponto de ônibus Pamplona;Samsung Galaxy A52;141.99;30;Outro
19:15:00;Shopping Cidade São Paulo;Samsung Galaxy A52;343.51;68;Outro
14:45:00;Shopping Pátio Paulista;iPhone 11;367.76;46;Masculino
18:45:00;Ponto de ônibus Pamplona;iPhone 14 Pro;114.51;37;Feminino
11:00:00;Metrô Consolação;Samsung S21;114.31;55;Outro
16:30:00;MASP;iPhone SE;365.01;25;Feminino
08:00:00;Shopping Pátio Paulista;Realme C35;358.93;49;Feminino
20:00:00;MASP;Xiaomi Redmi Note 11;253.38;43;Feminino
18:30:00;Shopping Pátio Paulista;Xiaomi Redmi Note 11;318.14;69;Masculino
18:15:00;Shopping Cidade São Paulo;iPhone SE;27.17;67;Feminino
15:30:00;Shopping Pátio Paulista;iPhone 13;55.43;70;Outro
08:45:00;Metrô Brigadeiro;Motorola G60;452.95;22;Masculino
19:00:00;Esquina Av. Consolação;Motorola G60;234.61;62;Masculino
18:00:00;Esquina Av. Consolação;iPhone 11;142.07;27;Outro
13:00:00;Shopping Cidade São Paulo;Motorola G60;345.3;16;Masculino
14:30:00;Metrô Trianon-Masp;Samsung S21;131.98;50;Feminino
12:45:00;Metrô Consolação;Samsung Galaxy A52;36.35;69;Feminino
17:45:00;Esquina Rua da Paz;iPhone 11;263.52;44;Masculino
18:15:00;MASP;Realme C35;384.81;46;Masculino
20:00:00;Ponto de ônibus Pamplona;Motorola G60;314.75;66;Masculino
18:45:00;MASP;iPhone 14 Pro;91.71;54;Masculino
17:45:00;Esquina Av. Consolação;Xiaomi Redmi Note 11;340.36;18;Feminino
12:15:00;MASP;Motorola G60;360.5;32;Feminino
19:45:00;Esquina Rua da Paz;iPhone 13;350.96;35;Feminino
17:15:00;Metrô Consolação;iPhone 11;115.14;31;Feminino
16:30:00;Shopping Cidade São Paulo;iPhone SE;214.97;21;Outro
17:30:00;Esquina Rua da Paz;Motorola G60;249.41;33;Masculino
07:00:00;Shopping Pátio Paulista;Motorola G60;57.03;18;Feminino
16:30:00;Esquina Rua da Paz;iPhone SE;91.03;24;Feminino
08:15:00;Ponto de ônibus Augusta;Samsung S21;208.06;48;Feminino
08:30:00;Metrô Brigadeiro;Samsung S21;432.73;29;Feminino
07:45:00;Ponto de ônibus Augusta;Realme C35;351.78;65;Outro
20:45:00;Shopping Pátio Paulista;iPhone 13;385.36;63;Feminino
12:15:00;Ponto de ônibus Augusta;iPhone SE;75.2;17;Outro
12:45:00;Metrô Brigadeiro;Motorola G60;454.49;45;Feminino
17:15:00;Metrô Consolação;Samsung Galaxy A52;252.65;22;Outro
13:15:00;Esquina Av. Consolação;Realme C35;384.13;30;Masculino
07:00:00;MASP;Realme C35;277.31;37;Outro
08:30:00;MASP;Realme C35;298.88;28;Masculino
14:00:00;MASP;Motorola G60;44.46;52;Outro
06:00:00;Metrô Trianon-Masp;Realme C35;75.63;51;Masculino
13:00:00;Shopping Cidade São Paulo;iPhone 13;354.29;46;Outro
17:45:00;Metrô Consolação;Xiaomi Redmi Note 11;278.15;43;Feminino
16:15:00;Metrô Brigadeiro;Motorola G60;308.7;38;Outro
07:30:00;Shopping Cidade São Paulo;Realme C35;332.29;24;Feminino
17:30:00;Metrô Trianon-Masp;iPhone 13;362.31;17;Outro
16:30:00;Shopping Cidade São Paulo;Realme C35;228.82;28;Outro
08:00:00;Shopping Pátio Paulista;Samsung S21;487.32;37;Feminino
08:15:00;Metrô Brigadeiro;Samsung S21;489.33;48;Masculino
17:45:00;Metrô Trianon-Masp;Samsung Galaxy A52;362.93;21;Feminino
12:00:00;Metrô Brigadeiro;iPhone 14 Pro;17.05;16;Outro
13:15:00;Shopping Cidade São Paulo;Xiaomi Redmi Note 11;133.49;70;Outro
12:45:00;Metrô Brigadeiro;Samsung S21;89.37;69;Feminino
07:30:00;Ponto de ônibus Augusta;Motorola G60;106.49;53;Feminino
15:00:00;Ponto de ônibus Augusta;Xiaomi Redmi Note 11;48.64;26;Outro
17:45:00;Shopping Pátio Paulista;Realme C35;317.45;45;Outro
08:15:00;Metrô Brigadeiro;Realme C35;451.55;48;Outro
20:00:00;Metrô Consolação;Realme C35;480.66;42;Feminino
07:45:00;Metrô Trianon-Masp;Motorola G60;388.38;68;Feminino
17:45:00;Ponto de ônibus Pamplona;iPhone SE;384.48;50;Outro
08:15:00;Metrô Brigadeiro;iPhone SE;225.59;43;Feminino
13:45:00;Shopping Cidade São Paulo;Samsung Galaxy A52;302.38;24;Feminino
12:00:00;Ponto de ônibus Pamplona;iPhone SE;42.45;61;Feminino
18:45:00;Metrô Trianon-Masp;Samsung Galaxy A52;299.15;28;Masculino
08:15:00;Metrô Trianon-Masp;Xiaomi Redmi Note 11;143.79;44;Outro
14:45:00;Metrô Trianon-Masp;iPhone SE;151.95;37;Feminino
14:15:00;Ponto de ônibus Pamplona;Motorola G60;490.94;54;Masculino
16:15:00;Ponto de ônibus Augusta;iPhone SE;328.71;23;Outro
17:15:00;Shopping Pátio Paulista;Realme C35;475.17;38;Outro
18:15:00;Esquina Av. Consolação;iPhone 11;286.68;27;Masculino
07:00:00;Ponto de ônibus Pamplona;Xiaomi Redmi Note 11;106.49;43;Feminino
15:00:00;Ponto de ônibus Pamplona;iPhone 13;381.32;37;Masculino
